Year,Network,Species,Sex,Weight
2011,CRO,water.vole,female,180
2012,CRO,water.vole,female,180
1999,CRO,water.vole,female,185
2000,CRO,water.vole,female,185
2001,CRO,water.vole,female,185
2002,CRO,water.vole,female,185
2003,CRO,water.vole,female,185
2004,CRO,water.vole,female,185
2004,CRO,water.vole,female,185
2007,CRO,water.vole,female,185
2002,CRO,water.vole,female,190
2002,CRO,water.vole,female,190
2002,CRO,water.vole,female,190
2002,CRO,water.vole,female,190
2003,CRO,water.vole,female,190
2003,CRO,water.vole,female,190
2004,CRO,water.vole,female,190
2004,CRO,water.vole,female,190
2005,CRO,water.vole,female,190
2005,CRO,water.vole,female,190
2005,CRO,water.vole,female,190
2005,CRO,water.vole,female,190
2007,CRO,water.vole,female,190
2008,CRO,water.vole,female,190
2009,CRO,water.vole,female,190
2009,CRO,water.vole,female,190
2010,CRO,water.vole,female,190
2012,CRO,water.vole,female,190
2002,CRO,water.vole,female,195
2004,CRO,water.vole,female,195
2005,CRO,water.vole,female,195
2012,CRO,water.vole,female,195
1999,CRO,water.vole,female,200
2002,CRO,water.vole,female,200
2002,CRO,water.vole,female,200
2003,CRO,water.vole,female,200
2003,CRO,water.vole,female,200
2004,CRO,water.vole,female,200
2004,CRO,water.vole,female,200
2005,CRO,water.vole,female,200
2007,CRO,water.vole,female,200
2009,CRO,water.vole,female,200
2009,CRO,water.vole,female,200
2011,CRO,water.vole,female,200
2012,CRO,water.vole,female,200
2012,CRO,water.vole,female,200
2002,CRO,water.vole,female,205
2002,CRO,water.vole,female,205
2003,CRO,water.vole,female,205
2003,CRO,water.vole,female,205
2009,CRO,water.vole,female,205
2012,CRO,water.vole,female,205
2002,CRO,water.vole,female,208
2003,CRO,water.vole,female,210
2003,CRO,water.vole,female,210
2004,CRO,water.vole,female,210
2004,CRO,water.vole,female,210
2005,CRO,water.vole,female,210
2005,CRO,water.vole,female,210
2007,CRO,water.vole,female,210
2007,CRO,water.vole,female,210
2008,CRO,water.vole,female,210
2009,CRO,water.vole,female,210
2010,CRO,water.vole,female,210
2012,CRO,water.vole,female,210
2001,CRO,water.vole,female,215
2003,CRO,water.vole,female,215
2003,CRO,water.vole,female,215
2004,CRO,water.vole,female,215
2011,CRO,water.vole,female,215
2011,CRO,water.vole,female,215
2003,CRO,water.vole,female,220
2003,CRO,water.vole,female,220
2005,CRO,water.vole,female,220
2009,CRO,water.vole,female,220
2010,CRO,water.vole,female,220
2010,CRO,water.vole,female,220
2010,CRO,water.vole,female,220
2011,CRO,water.vole,female,220
2011,CRO,water.vole,female,220
2003,CRO,water.vole,female,225
2004,CRO,water.vole,female,225
2003,CRO,water.vole,female,230
2007,CRO,water.vole,female,230
2007,CRO,water.vole,female,230
2007,CRO,water.vole,female,230
2012,CRO,water.vole,female,230
1999,CRO,water.vole,female,235
2004,CRO,water.vole,female,235
2009,CRO,water.vole,female,235
2005,CRO,water.vole,female,240
2009,CRO,water.vole,female,240
2009,CRO,water.vole,female,240
2011,CRO,water.vole,female,240
2011,CRO,water.vole,female,240
2011,CRO,water.vole,female,245
2005,CRO,water.vole,female,250
2007,CRO,water.vole,female,250
2008,CRO,water.vole,female,250
2010,CRO,water.vole,female,250
2012,CRO,water.vole,female,250
2005,CRO,water.vole,female,255
2005,CRO,water.vole,female,270
2005,CRO,water.vole,female,270
2011,CRO,water.vole,female,285
2005,CRO,water.vole,female,300
2011,CRO,water.vole,male,25
2011,CRO,water.vole,male,30
2011,CRO,water.vole,male,30
2012,CRO,water.vole,male,30
2012,CRO,water.vole,male,35
1999,CRO,water.vole,male,40
1999,CRO,water.vole,male,40
2001,CRO,water.vole,male,40
2009,CRO,water.vole,male,40
2011,CRO,water.vole,male,40
2011,CRO,water.vole,male,40
2011,CRO,water.vole,male,40
2012,CRO,water.vole,male,40
1999,CRO,water.vole,male,45
2001,CRO,water.vole,male,45
2001,CRO,water.vole,male,45
2003,CRO,water.vole,male,45
2003,CRO,water.vole,male,45
2004,CRO,water.vole,male,45
2005,CRO,water.vole,male,45
2005,CRO,water.vole,male,45
2007,CRO,water.vole,male,45
2008,CRO,water.vole,male,45
2009,CRO,water.vole,male,45
2009,CRO,water.vole,male,45
2011,CRO,water.vole,male,45
1999,CRO,water.vole,male,50
2002,CRO,water.vole,male,50
2003,CRO,water.vole,male,50
2003,CRO,water.vole,male,50
2005,CRO,water.vole,male,50
2009,CRO,water.vole,male,50
2009,CRO,water.vole,male,50
2010,CRO,water.vole,male,50
2011,CRO,water.vole,male,50
2012,CRO,water.vole,male,50
2012,CRO,water.vole,male,50
2012,CRO,water.vole,male,50
2012,CRO,water.vole,male,50
2001,CRO,water.vole,male,55
2002,CRO,water.vole,male,55
2003,CRO,water.vole,male,55
2005,CRO,water.vole,male,55
2009,CRO,water.vole,male,55
2009,CRO,water.vole,male,55
2012,CRO,water.vole,male,55
2002,CRO,water.vole,male,58
2003,CRO,water.vole,male,60
2003,CRO,water.vole,male,60
2004,CRO,water.vole,male,60
2005,CRO,water.vole,male,60
2005,CRO,water.vole,male,60
2005,CRO,water.vole,male,60
2005,CRO,water.vole,male,60
2005,CRO,water.vole,male,60
2010,CRO,water.vole,male,60
2010,CRO,water.vole,male,60
2010,CRO,water.vole,male,60
2010,CRO,water.vole,male,60
2010,CRO,water.vole,male,60
2010,CRO,water.vole,male,60
2011,CRO,water.vole,male,60
2012,CRO,water.vole,male,60
2012,CRO,water.vole,male,60
2002,CRO,water.vole,male,62
2003,CRO,water.vole,male,65
2003,CRO,water.vole,male,65
2003,CRO,water.vole,male,65
2005,CRO,water.vole,male,65
2005,CRO,water.vole,male,65
2005,CRO,water.vole,male,65
2005,CRO,water.vole,male,65
2009,CRO,water.vole,male,65
1999,CRO,water.vole,male,70
1999,CRO,water.vole,male,70
